,key_start_day,division,profit_centre,order,material,designation,order_type,order_quantity,date_start_plan,date_end_plan,fixation,date_reordo,message,order_stat,customer_order,date_end_real,AllocatedTime,Leadtime,workstation,Allocated_Time_On_Workstation,Smooth_Family,Ranking,Freeze_end_date,Remain_to_do,closed,freezed,key,smoothing_end_date
80,,2110,177,6098303,IS0014648M,177A-915LR,YP04,1,08/09/2022,14/09/2022,None,02/09/2022,10.0,LANC ARTM IMPR CCRP RIMP,A117702031,,123.493315543289,18.0,prod,0.0,3,2022-09-02,2022-09-14 06:00:00,,False,Freezed,211017732022-09-14 06:00:00,2022-09-14 06:00:00
81,,2110,177,6098304,IS0014648M,177A-915LR,YP04,1,19/09/2022,26/09/2022,None,13/09/2022,10.0,LANC ARTM IMPR CCRP RIMP,A117702032,,123.493315543289,18.0,prod,0.0,3,2022-09-13,,,False,not_freezed,21101773NaT,
82,,2110,177,980824321,IS0014648M,177A-915LR,KD,1,20/09/2022,21/09/2022,X,23/09/2022,15.0,None,A117702033,,123.493315543289,18.0,prod,0.0,3,2022-09-23,,,False,not_freezed,21101773NaT,
83,,2110,177,980824322,IS0014648M,177A-915LR,KD,1,29/09/2022,30/09/2022,X,10/10/2022,15.0,None,A117702034,,123.493315543289,18.0,prod,0.0,3,2022-10-10,,,False,not_freezed,21101773NaT,
84,,2110,177,980824324,IS0014648M,177A-915LR,KD,1,11/10/2022,12/10/2022,X,19/10/2022,15.0,None,A117702036,,123.493315543289,18.0,prod,0.0,3,2022-10-19,,,False,not_freezed,21101773NaT,
85,,2110,177,980824323,IS0014648M,177A-915LR,KD,1,20/10/2022,21/10/2022,X,20/10/2022,10.0,None,A117702035,,123.493315543289,18.0,prod,0.0,3,2022-10-20,,,False,not_freezed,21101773NaT,
86,,2110,177,980824325,IS0014648M,177A-915LR,KD,1,31/10/2022,01/11/2022,X,10/11/2022,15.0,None,A117702037,,123.493315543289,18.0,prod,0.0,3,2022-11-10,,,False,not_freezed,21101773NaT,
87,,2110,177,980824326,IS0014648M,177A-915LR,KD,1,09/11/2022,10/11/2022,X,21/11/2022,15.0,None,A117702038,,123.493315543289,18.0,prod,0.0,3,2022-11-21,,,False,not_freezed,21101773NaT,
88,,2110,177,980824327,IS0014648M,177A-915LR,KD,1,18/11/2022,21/11/2022,X,05/12/2022,15.0,None,A117702039,,123.493315543289,18.0,prod,0.0,3,2022-12-05,,,False,not_freezed,21101773NaT,
89,,2110,177,980824328,IS0014648M,177A-915LR,KD,1,30/11/2022,01/12/2022,X,21/12/2022,15.0,None,A117702040,,123.493315543289,18.0,prod,0.0,3,2022-12-21,,,False,not_freezed,21101773NaT,
90,,2110,177,980824329,IS0014648M,177A-915LR,KD,1,09/12/2022,12/12/2022,X,30/12/2022,15.0,None,A117702042,,123.493315543289,18.0,prod,0.0,3,2022-12-30,,,False,not_freezed,21101773NaT,
91,,2110,177,980824330,IS0014648M,177A-915LR,KD,1,20/12/2022,21/12/2022,X,10/01/2023,15.0,None,A117702043,,123.493315543289,18.0,prod,0.0,3,2023-01-10,,,False,not_freezed,21101773NaT,
92,,2110,177,980824331,IS0014648M,177A-915LR,KD,1,05/01/2023,06/01/2023,X,19/01/2023,15.0,None,A117702044,,123.493315543289,18.0,prod,0.0,3,2023-01-19,,,False,not_freezed,21101773NaT,
93,,2110,177,980824332,IS0014648M,177A-915LR,KD,1,16/01/2023,17/01/2023,X,31/01/2023,15.0,None,A117702045,,123.493315543289,18.0,prod,0.0,3,2023-01-31,,,False,not_freezed,21101773NaT,
94,,2110,177,980824333,IS0014648M,177A-915LR,KD,1,26/01/2023,27/01/2023,X,09/02/2023,15.0,None,A117702046,,123.493315543289,18.0,prod,0.0,3,2023-02-09,,,False,not_freezed,21101773NaT,
95,,2110,177,980824334,IS0014648M,177A-915LR,KD,1,17/02/2023,20/02/2023,None,,nan,None,A117702047,,123.493315543289,18.0,prod,0.0,3,2023-02-20,,,False,not_freezed,21101773NaT,
96,,2110,177,980824335,IS0014648M,177A-915LR,KD,1,28/02/2023,01/03/2023,None,,nan,None,A117702048,,123.493315543289,18.0,prod,0.0,3,2023-03-01,,,False,not_freezed,21101773NaT,
97,,2110,177,980824336,IS0014648M,177A-915LR,KD,1,08/03/2023,09/03/2023,None,,nan,None,A117702049,,123.493315543289,18.0,prod,0.0,3,2023-03-09,,,False,not_freezed,21101773NaT,
98,,2110,177,980824337,IS0014648M,177A-915LR,KD,1,17/03/2023,21/03/2023,None,,nan,None,A117702050,,123.493315543289,18.0,prod,0.0,3,2023-03-21,,,False,not_freezed,21101773NaT,
99,,2110,177,980824338,IS0014648M,177A-915LR,KD,1,31/03/2023,03/04/2023,None,,nan,None,A117702051,,123.493315543289,18.0,prod,0.0,3,2023-04-03,,,False,not_freezed,21101773NaT,
100,,2110,177,980824339,IS0014648M,177A-915LR,KD,1,11/04/2023,12/04/2023,None,,nan,None,A117702052,,123.493315543289,18.0,prod,0.0,3,2023-04-12,,,False,not_freezed,21101773NaT,
101,,2110,177,980824340,IS0014648M,177A-915LR,KD,1,28/04/2023,02/05/2023,None,,nan,None,A117702053,,123.493315543289,18.0,prod,0.0,3,2023-05-02,,,False,not_freezed,21101773NaT,
102,,2110,177,980824341,IS0014648M,177A-915LR,KD,1,09/05/2023,10/05/2023,None,,nan,None,A117702054,,123.493315543289,18.0,prod,0.0,3,2023-05-10,,,False,not_freezed,21101773NaT,
103,,2110,177,980824342,IS0014648M,177A-915LR,KD,1,22/05/2023,23/05/2023,None,,nan,None,A117702055,,123.493315543289,18.0,prod,0.0,3,2023-05-23,,,False,not_freezed,21101773NaT,
104,,2110,177,980824343,IS0014648M,177A-915LR,KD,1,30/05/2023,31/05/2023,None,,nan,None,A117702056,,123.493315543289,18.0,prod,0.0,3,2023-05-31,,,False,not_freezed,21101773NaT,
105,,2110,177,980824344,IS0014648M,177A-915LR,KD,1,08/06/2023,09/06/2023,None,,nan,None,A117702057,,123.493315543289,18.0,prod,0.0,3,2023-06-09,,,False,not_freezed,21101773NaT,
106,,2110,177,980824345,IS0014648M,177A-915LR,KD,1,21/06/2023,22/06/2023,None,,nan,None,A117702058,,123.493315543289,18.0,prod,0.0,3,2023-06-22,,,False,not_freezed,21101773NaT,
107,,2110,177,980824346,IS0014648M,177A-915LR,KD,1,11/07/2023,12/07/2023,None,,nan,None,A117702059,,123.493315543289,18.0,prod,0.0,3,2023-07-12,,,False,not_freezed,21101773NaT,
108,,2110,177,981573626,IS0014648M,177A-915LR,KD,1,21/07/2023,14/08/2023,None,,nan,None,A117702060,,123.493315543289,18.0,prod,0.0,3,2023-08-14,,,False,not_freezed,21101773NaT,
109,,2110,177,980987853,IS0014648M,177A-915LR,KD,1,22/08/2023,23/08/2023,None,,nan,None,A117702061,,123.493315543289,18.0,prod,0.0,3,2023-08-23,,,False,not_freezed,21101773NaT,
